bondDefinedCode,bondName,bondCode,issueStartDate,issueEndDate,bondTypeCode,bondType,entyFullName,entyDefinedCode,debtRtng,isin,inptTp
fgdcirqkft,,230003,2023-02-14,2023-02-14,100001,Treasury Bond,Ministry of Finance of the People’s Republic of China,300001,---,CND1000639M1,0
fgghb368dm,,239909,2023-02-10,2023-02-10,100001,Treasury Bond,Ministry of Finance of the People’s Republic of China,300001,---,CND1000639H1,0
fgdch1mjri,,239907,2023-02-08,2023-02-08,100001,Treasury Bond,Ministry of Finance of the People’s Republic of China,300001,---,CND1000620Q2,0
fgdcg9441b,,239908,2023-02-08,2023-02-08,100001,Treasury Bond,Ministry of Finance of the People’s Republic of China,300001,---,CND1000620P4,0
ffgid3b1hd,,239906,2023-02-03,2023-02-03,100001,Treasury Bond,Ministry of Finance of the People’s Republic of China,300001,---,CND100061ZY6,0
ffaegl44ic,,239905,2023-02-03,2023-02-03,100001,Treasury Bond,Ministry of Finance of the People’s Republic of China,300001,---,CND100060110,0
fdjebqggsz,,239904,2023-01-13,2023-01-13,100001,Treasury Bond,Ministry of Finance of the People’s Republic of China,300001,---,CND10005ZVC7,0
fdadilnoyy,,230002,2023-01-13,2023-01-13,100001,Treasury Bond,Ministry of Finance of the People’s Republic of China,300001,---,CND10005ZT18,0
fdadhm5kl6,,239903,2023-01-13,2023-01-13,100001,Treasury Bond,Ministry of Finance of the People’s Republic of China,300001,---,CND10005ZT00,0
fdadgc62al,,230001,2023-01-13,2023-01-13,100001,Treasury Bond,Ministry of Finance of the People’s Republic of China,300001,---,CND10005ZT26,0
fdefa9y5rx,,239902,2023-01-11,2023-01-11,100001,Treasury Bond,Ministry of Finance of the People’s Republic of China,300001,---,CND10005ZTL2,0
fdeejnc3x2,,239901,2023-01-11,2023-01-11,100001,Treasury Bond,Ministry of Finance of the People’s Republic of China,300001,---,CND10005ZTM0,0
